id,fips,state,county,population,household income,year,% insufficient sleep,physically unhealthy days,mentally unhealthy days,% obese,food environment index,% physically inactive,teen birth rate,# medicare enrollees,# some college,% unemployed,income ratio,% single-parent households,# violent crimes,Region,State Code
0,01001,Alabama,autauga,55246.0,51868.0,2015.0,34.95950504963831,5.1,3.6,31.3,7.2,27.9,36.499862524,4688.0,8145.0,5.6874828276,4.1715137957,29.629370139,138.66666667,Southeast,AL
1,01003,Alabama,baldwin,195540.0,47539.0,2015.0,34.40999998698751,3.3,3.8,25.0,7.6,25.2,44.532661526,22883.0,28277.0,5.8395466746,4.4171482752,29.242727594,406.66666667,Southeast,AL
2,01005,Alabama,barbour,27076.0,30981.0,2015.0,38.80145653073788,4.8,4.3,38.4,5.0,32.3,72.873799726,3088.0,3156.0,10.041503343,5.4739856417,55.824663142,39.333333333,Southeast,AL
3,01007,Alabama,bibb,22512.0,39781.0,2015.0,38.02454930622848,4.7,5.1,37.3,7.6,33.2,50.850850851,2022.0,3053.0,6.8497757848,4.5137856924,37.176423736,54.0,Southeast,AL
4,01009,Alabama,blount,57872.0,44392.0,2015.0,35.0045504282204,5.9,3.9,30.9,8.5,29.8,47.239216294,4991.0,7113.0,5.6070842399,3.9837506136,27.62988407,126.5,Southeast,AL
5,01011,Alabama,bullock,10639.0,25937.0,2015.0,44.23928709966269,4.2,4.069617000561126,43.2,3.8,32.8,84.596967279,1127.0,1147.0,11.990820425,5.2633408919,62.407968818,31.0,Southeast,AL
6,01013,Alabama,butler,20265.0,31041.0,2015.0,38.79412894723133,3.9,3.5,38.4,6.0,37.3,63.341425734,2789.0,2141.0,9.3146663656,5.1004804169,51.209016393,101.0,Southeast,AL
7,01015,Alabama,calhoun,116736.0,37898.0,2015.0,37.2127753499811,5.2,5.1,31.5,6.4,33.2,49.328449328,16302.0,14999.0,7.2664015905,5.1644956471,39.598332702,598.66666667,Southeast,AL
8,01017,Alabama,chambers,34162.0,33883.0,2015.0,39.30926248656998,5.0,4.3,39.7,5.7,35.3,59.728046766,5186.0,3888.0,7.2611723345,5.2797452625,54.760306164,161.33333333,Southeast,AL
9,01019,Alabama,cherokee,26203.0,37478.0,2015.0,35.470060518866106,6.1,5.2,30.3,7.9,29.8,51.558517938,3104.0,3074.0,5.7207442184,5.0950101146,31.472661459,97.666666667,Southeast,AL
